"Sample","Abundance","Type","Taxonomy","RelativeAbundance"
"TAn2_3",641,"Rock Anoxic","Ignavibacteria",0.832467532467532
"TAn3_1",523,"Rock Anoxic","Ignavibacteria",0.679220779220779
"TAn3_2",511,"Rock Anoxic","Ignavibacteria",0.663636363636364
"TAn3_3",234,"Rock Anoxic","Ignavibacteria",0.303896103896104
"TAn4_1",80,"Rock Anoxic","Ignavibacteria",0.103896103896104
"TAn4_2",137,"Rock Anoxic","Ignavibacteria",0.177922077922078
"TAn4_3",291,"Rock Anoxic","Ignavibacteria",0.377922077922078
"TAn5_1",85,"Rock Anoxic","Ignavibacteria",0.11038961038961
"TAn5_2",381,"Rock Anoxic","Ignavibacteria",0.494805194805195
"TAn5_3",432,"Rock Anoxic","Ignavibacteria",0.561038961038961
"TO1L",54,"Rock Oxic","Ignavibacteria",0.0701298701298701
"TO1_1",481,"Rock Oxic","Ignavibacteria",0.624675324675325
"TO1_2",365,"Rock Oxic","Ignavibacteria",0.474025974025974
"TO1_3",275,"Rock Oxic","Ignavibacteria",0.357142857142857
"TO2_1",360,"Rock Oxic","Ignavibacteria",0.467532467532468
"TO2_2",674,"Rock Oxic","Ignavibacteria",0.875324675324675
"TO2_3",389,"Rock Oxic","Ignavibacteria",0.505194805194805
"TO3_1",141,"Rock Oxic","Ignavibacteria",0.183116883116883
"TO3_2",212,"Rock Oxic","Ignavibacteria",0.275324675324675
"TO3_3",246,"Rock Oxic","Ignavibacteria",0.319480519480519
"TO4_1",139,"Rock Oxic","Ignavibacteria",0.180519480519481
"TO4_2",94,"Rock Oxic","Ignavibacteria",0.122077922077922
"TO4_3",87,"Rock Oxic","Ignavibacteria",0.112987012987013
"TO5_1",222,"Rock Oxic","Ignavibacteria",0.288311688311688
"TO5_2",176,"Rock Oxic","Ignavibacteria",0.228571428571429
"TO5_3",124,"Rock Oxic","Ignavibacteria",0.161038961038961
"W1L",1110,"Water","Ignavibacteria",1.44155844155844
"W1_1",3019,"Water","Ignavibacteria",3.92077922077922
"W1_2",2909,"Water","Ignavibacteria",3.77792207792208
"W1_3",3559,"Water","Ignavibacteria",4.62207792207792
"W2_1",4114,"Water","Ignavibacteria",5.34285714285714
"W2_2",3490,"Water","Ignavibacteria",4.53246753246753
"W2_3",3148,"Water","Ignavibacteria",4.08831168831169
"W3_1",4613,"Water","Ignavibacteria",5.99090909090909
"W3_2",1754,"Water","Ignavibacteria",2.27792207792208
"W3_3",2394,"Water","Ignavibacteria",3.10909090909091
"W4_1",1414,"Water","Ignavibacteria",1.83636363636364
"W4_2",1383,"Water","Ignavibacteria",1.7961038961039
"W4_3",1295,"Water","Ignavibacteria",1.68181818181818
"W5_1",1266,"Water","Ignavibacteria",1.64415584415584
"W5_2",1586,"Water","Ignavibacteria",2.05974025974026
"W5_3",887,"Water","Ignavibacteria",1.15194805194805
"t0_1",2987,"Other","Ignavibacteria",3.87922077922078
"t0_2",2720,"Other","Ignavibacteria",3.53246753246753
"t0_3",2824,"Other","Ignavibacteria",3.66753246753247
"G1L",233,"Glass","TSAC18",0.302597402597403
"G1_1",1874,"Glass","TSAC18",2.43376623376623
"G1_2",1787,"Glass","TSAC18",2.32077922077922
"G1_3",2256,"Glass","TSAC18",2.92987012987013
"G2_1",1825,"Glass","TSAC18",2.37012987012987
"G2_2",2113,"Glass","TSAC18",2.74415584415584
"G2_3",1280,"Glass","TSAC18",1.66233766233766
"G3_1",585,"Glass","TSAC18",0.75974025974026
"G3_2",466,"Glass","TSAC18",0.605194805194805
"G3_3",489,"Glass","TSAC18",0.635064935064935
"G4_1",494,"Glass","TSAC18",0.641558441558442
"G4_2",321,"Glass","TSAC18",0.416883116883117
"G4_3",1992,"Glass","TSAC18",2.58701298701299
"G5_1",220,"Glass","TSAC18",0.285714285714286
"G5_2",295,"Glass","TSAC18",0.383116883116883
"G5_3",372,"Glass","TSAC18",0.483116883116883
"TAn1L",215,"Rock Anoxic","TSAC18",0.279220779220779
"TAn1_1",2377,"Rock Anoxic","TSAC18",3.08701298701299
"TAn1_2",2195,"Rock Anoxic","TSAC18",2.85064935064935
"TAn1_3",3030,"Rock Anoxic","TSAC18",3.93506493506493
"TAn2_1",4264,"Rock Anoxic","TSAC18",5.53766233766234
"TAn2_2",4692,"Rock Anoxic","TSAC18",6.09350649350649
"TAn2_3",2913,"Rock Anoxic","TSAC18",3.78311688311688
"TAn3_1",1576,"Rock Anoxic","TSAC18",2.04675324675325
"TAn3_2",3945,"Rock Anoxic","TSAC18",5.12337662337662
"TAn3_3",872,"Rock Anoxic","TSAC18",1.13246753246753
"TAn4_1",429,"Rock Anoxic","TSAC18",0.557142857142857
"TAn4_2",464,"Rock Anoxic","TSAC18",0.602597402597403
"TAn4_3",2520,"Rock Anoxic","TSAC18",3.27272727272727
"TAn5_1",764,"Rock Anoxic","TSAC18",0.992207792207792
"TAn5_2",1417,"Rock Anoxic","TSAC18",1.84025974025974
"TAn5_3",1472,"Rock Anoxic","TSAC18",1.91168831168831
"TO1L",360,"Rock Oxic","TSAC18",0.467532467532468
"TO1_1",1908,"Rock Oxic","TSAC18",2.47792207792208
"TO1_2",2078,"Rock Oxic","TSAC18",2.6987012987013
"TO1_3",2621,"Rock Oxic","TSAC18",3.4038961038961
"TO2_1",1757,"Rock Oxic","TSAC18",2.28181818181818
"TO2_2",4045,"Rock Oxic","TSAC18",5.25324675324675
"TO2_3",2792,"Rock Oxic","TSAC18",3.62597402597403
"TO3_1",745,"Rock Oxic","TSAC18",0.967532467532468
"TO3_2",1019,"Rock Oxic","TSAC18",1.32337662337662
"TO3_3",1186,"Rock Oxic","TSAC18",1.54025974025974
"TO4_1",826,"Rock Oxic","TSAC18",1.07272727272727
"TO4_2",448,"Rock Oxic","TSAC18",0.581818181818182
"TO4_3",478,"Rock Oxic","TSAC18",0.620779220779221
"TO5_1",996,"Rock Oxic","TSAC18",1.29350649350649
"TO5_2",936,"Rock Oxic","TSAC18",1.21558441558442
"TO5_3",720,"Rock Oxic","TSAC18",0.935064935064935
"W1L",583,"Water","TSAC18",0.757142857142857
"W1_1",1488,"Water","TSAC18",1.93246753246753
"W1_2",1462,"Water","TSAC18",1.8987012987013
"W1_3",1679,"Water","TSAC18",2.18051948051948
"W2_1",1128,"Water","TSAC18",1.46493506493506
"W2_2",1133,"Water","TSAC18",1.47142857142857
"W2_3",1286,"Water","TSAC18",1.67012987012987
"W3_1",901,"Water","TSAC18",1.17012987012987
"W3_2",578,"Water","TSAC18",0.750649350649351
"W3_3",663,"Water","TSAC18",0.861038961038961
"W4_1",716,"Water","TSAC18",0.92987012987013
"W4_2",524,"Water","TSAC18",0.680519480519481
"W4_3",607,"Water","TSAC18",0.788311688311688
"W5_1",811,"Water","TSAC18",1.05324675324675
"W5_2",1153,"Water","TSAC18",1.4974025974026
"W5_3",648,"Water","TSAC18",0.841558441558442
"t0_1",1583,"Other","TSAC18",2.05584415584416
"t0_2",1964,"Other","TSAC18",2.55064935064935
"t0_3",1749,"Other","TSAC18",2.27142857142857
"G1L",187,"Glass","Thermoanaerobacteria",0.242857142857143
"G1_1",1243,"Glass","Thermoanaerobacteria",1.61428571428571
"G1_2",1000,"Glass","Thermoanaerobacteria",1.2987012987013
"G1_3",1339,"Glass","Thermoanaerobacteria",1.73896103896104
"G2_1",1124,"Glass","Thermoanaerobacteria",1.45974025974026
"G2_2",1113,"Glass","Thermoanaerobacteria",1.44545454545455
"G2_3",721,"Glass","Thermoanaerobacteria",0.936363636363636
"G3_1",314,"Glass","Thermoanaerobacteria",0.407792207792208
"G3_2",245,"Glass","Thermoanaerobacteria",0.318181818181818
